countries,director_name,,
USA,121,,392
UK,38,,
France,35,,
Italy,12,,
Israel,11,,
Canada,11,,
India,10,,
Iran,8,,
China,8,,
Germany,7,,
Japan,7,,
Denmark,6,,
New Zealand,6,,
Argentina,6,,
Australia,6,,
Sweden,5,,
Spain,5,,
South Korea,5,,
Brazil,5,,
Austria,5,,
Portugal,4,,
Belgium,4,,
Hong Kong,4,,
Hungary,3,,
Romania,3,,
Poland,3,,
Mexico,3,,
Tunisia,2,,
Ireland,2,,
Palestine,2,,
Nigeria,2,,
Finland,2,,
Syria,2,,
USSR [now Russia],2,,
Chile,2,,
West Germany,2,,
South Africa,2,,
Singapore,1,,
Senegal,1,,
1972,1,,
Taiwan,1,,
Thailand,1,,
Turkey,1,,
USSR,1,,
Ukraine],1,,
West Germany [now Germany],1,,
Russia],1,,
Lebanon,1,,
Puerto Rico,1,,
Philippines,1,,
Cameroon,1,,
Chad,1,,
Colombia,1,,
Czechoslovakia [now Czech Republic],1,,
Ecuador,1,,
Egypt,1,,
Ghana,1,,
Greece,1,,
Haiti,1,,
Italy],1,,
Japan],1,,
Kenya,1,,
Korea,1,,
Lithuania,1,,
Malaysia,1,,
Mauritania,1,,
Mirrah Foulkes,1,,
Yugoslavia,1,,